text,mood,genre
"Feeling great today, listening to upbeat pop music!","happy","pop"
"This rainy day makes me feel blue, listening to some soulful blues.","sad","blues"
"Ready to hit the gym with some high-energy hip hop tracks.","energetic","hip hop"
"Just relaxing at home, enjoying some chill lofi beats.","chill","lofi"
"Need to concentrate on my work, so I'm playing some classical music.","focus","classical"
"A quiet evening with my partner, listening to soft acoustic songs.","romantic","acoustic"
"Feeling really angry, need to blast some loud rock music.","angry","rock"
"Practicing meditation with calming ambient sounds.","calm","ambient"
"Feeling super happy and want to dance to some pop songs.","happy","pop"
"This sad song is really hitting me, I need some blues to match my mood.","sad","blues"
"Pumped up for this workout with some awesome hip hop beats.","energetic","hip hop"
"Winding down with some chill lofi music.","chill","lofi"
"Studying requires focus, so I'm listening to classical music.","focus","classical"
"A romantic dinner calls for some soft acoustic guitar music.","romantic","acoustic"
"This traffic is making me angry, need some loud rock music to vent.","angry","rock"
"Feeling calm and peaceful, listening to ambient sounds.","calm","ambient"
"Feeling joyful and want to listen to some happy pop tunes.","happy","pop"
"This melancholic mood calls for some deep blues music.","sad","blues"
"Need a boost of energy, so I'm putting on some energetic hip hop.","energetic","hip hop"
"Just want to relax with some chill lofi beats.","chill","lofi"
"This task requires deep focus, so classical music is perfect.","focus","classical"
"A romantic evening needs some soft acoustic melodies.","romantic","acoustic"
"Feeling frustrated, so I'm listening to some loud angry rock music.","angry","rock"
"Finding peace in calm ambient sounds for meditation.","calm","ambient"
"Feeling ecstatic, let's play some happy pop music!","happy","pop"
"This sad mood requires some soulful blues music.","sad","blues"
"Getting hyped for the game with some energetic hip hop.","energetic","hip hop"
"Winding down after a long day with some chill lofi.","chill","lofi"
"Concentrating on work with classical music.","focus","classical"
"Romantic vibes with acoustic music.","romantic","acoustic"
"This anger needs an outlet, so loud rock music is the answer.","angry","rock"
"Seeking tranquility with calm ambient sounds.","calm","ambient"
"Feeling cheerful, time for some happy pop music.","happy","pop"
"This sad feeling needs some blues to express it.","sad","blues"
"Need some energetic hip hop to get me moving.","energetic","hip hop"
"Relaxing with some chill lofi beats.","chill","lofi"
"Focusing on my work with classical music.","focus","classical"
"Romantic evening with soft acoustic guitar.","romantic","acoustic"
"This anger needs loud rock music.","angry","rock"
"Calm and peaceful with ambient sounds.","calm","ambient"
"Feeling ecstatic, let's play some happy pop tunes!","happy","pop"
"This sad mood calls for some soulful blues.","sad","blues"
"Pumped up for the workout with energetic hip hop.","energetic","hip hop"
"Winding down with chill lofi beats.","chill","lofi"
"Concentrating on work with classical music.","focus","classical"
"Romantic evening with soft acoustic guitar.","romantic","acoustic"
"This anger needs loud rock music.","angry","rock"
"Calm and peaceful with ambient sounds.","calm","ambient"
