text,mood,mood_id
It's heavy today; the payday didn't help at all.,sad,1
"I tried to focus at the stadium, but everything felt dull.",sad,1
It's heavy today; the birthday party didn't help at all.,sad,1
A small message from my neighbor made my heart warm.,romantic,4
I set big goals today and I'm charging at them.,workout,5
The way things went at the canteen was unacceptable.,angry,3
I put on soft music and let the day exhale.,chill,2
"I tried to focus at the office, but everything felt dull.",sad,1
Crushed my job interview; I'm buzzing with focus.,workout,5
My my neighbor sent the notes and now I feel drowsy.,sleep,6
I can't stop smiling after the cashier brought cake at the lab.,happy,0
I can't stop smiling after the audience cancelled plans at the canteen.,happy,0
"After lecture hall, I finally felt my shoulders unclench.",chill,2
Another delay in gym session; I'm sick of this nonsense.,angry,3
Another delay in late-night study; I'm sick of this nonsense.,angry,3
I saved songs from our new phone for later.,romantic,4
Today felt light; even the sunny afternoon tasted better than usual.,happy,0
"After traffic jam, I just want to curl up and rest.",sleep,6
My patience snapped in that market queue.,angry,3
I can't stop smiling after my crush gave me a ride at the market.,happy,0
Crushed my new phone; I'm buzzing with focus.,workout,5
Got good news about playlist shuffle—it made my whole day.,happy,0
The beat dropped and the studio felt electric.,workout,5
Sat near the stadium and let the noise drift away.,chill,2
I can't stop smiling after my boss brought cake at the lab.,happy,0
It's heavy today; the new phone didn't help at all.,sad,1
A quiet hour with my sister was exactly what I needed.,chill,2
A quiet hour with my sister was exactly what I needed.,chill,2
I caught my sister smiling at me and time slowed.,romantic,4
A small message from my best friend made my heart warm.,romantic,4
"After exam results, I finally felt my shoulders unclench.",chill,2
The evening walk turned into a small win I really needed.,happy,0
The quiet at the home is putting me to sleep.,sleep,6
I miss how family dinner used to make me feel.,sad,1
"I tried to focus at the lab, but everything felt dull.",sad,1
"After lecture hall, I just want to curl up and rest.",sleep,6
I miss how lecture hall used to make me feel.,sad,1
The beat dropped and the lab felt electric.,workout,5
A quiet hour with my sister was exactly what I needed.,chill,2
"I warned them, but my boss still ignored my message. I'm done.",angry,3
A small message from the driver made my heart warm.,romantic,4
I put on soft music and let the day exhale.,chill,2
I miss how playlist shuffle used to make me feel.,sad,1
Walking to the home with them felt like a movie scene.,romantic,4
My patience snapped in that bus stop queue.,angry,3
"I tried to focus at the market, but everything felt dull.",sad,1
My my teammate just praised my work; I'm genuinely grateful.,happy,0
I put on soft music and let the day exhale.,chill,2
I put on soft music and let the day exhale.,chill,2
It's heavy today; the sunny afternoon didn't help at all.,sad,1
I miss how family dinner used to make me feel.,sad,1
A small message from my parents made my heart warm.,romantic,4
The new phone turned into a small win I really needed.,happy,0
I miss how job interview used to make me feel.,sad,1
Got good news about family dinner—it made my whole day.,happy,0
"I warned them, but my sister still played my song. I'm done.",angry,3
My my sister texted me and now I feel drowsy.,sleep,6
The late-night study reminded me I'm not okay yet.,sad,1
The lecture hall turned into a small win I really needed.,happy,0
"After new phone, I finally felt my shoulders unclench.",chill,2
Crushed my payday; I'm buzzing with focus.,workout,5
I was fuming when the lecturer ignored my message during group project.,angry,3
"I tried to focus at the office, but everything felt dull.",sad,1
I saved songs from our job interview for later.,romantic,4
Got good news about new phone—it made my whole day.,happy,0
The classroom lights dimmed and my eyes felt heavy.,sleep,6
I put on soft music and let the day exhale.,chill,2
The rainy day turned into a small win I really needed.,happy,0
I miss how morning coffee used to make me feel.,sad,1
I was fuming when my teammate brought cake during traffic jam.,angry,3
"After playlist shuffle, I finally felt my shoulders unclench.",chill,2
I was fuming when the lecturer forgot my name during family dinner.,angry,3
I put on soft music and let the day exhale.,chill,2
The classroom lights dimmed and my eyes felt heavy.,sleep,6
I miss how gym session used to make me feel.,sad,1
I saved songs from our birthday party for later.,romantic,4
I miss how payday used to make me feel.,sad,1
A small message from my neighbor made my heart warm.,romantic,4
My my teammate praised my work and now I feel drowsy.,sleep,6
The birthday party reminded me I'm not okay yet.,sad,1
"After gym session, I finally felt my shoulders unclench.",chill,2
Walking to the classroom with them felt like a movie scene.,romantic,4
"I warned them, but my boss still gave me a ride. I'm done.",angry,3
I saved songs from our cricket match for later.,romantic,4
Got good news about rainy day—it made my whole day.,happy,0
I can't stop smiling after my teammate ignored my message at the classroom.,happy,0
My my crush played my song and now I feel drowsy.,sleep,6
My patience snapped in that home queue.,angry,3
Walking to the stadium with them felt like a movie scene.,romantic,4
The library lights dimmed and my eyes felt heavy.,sleep,6
A quiet hour with my boss was exactly what I needed.,chill,2
I need soft sounds tonight; the group project drained me.,sleep,6
The quiet at the market is putting me to sleep.,sleep,6
I saved songs from our sunny afternoon for later.,romantic,4
I set big goals today and I'm charging at them.,workout,5
I saved songs from our payday for later.,romantic,4
I caught my parents smiling at me and time slowed.,romantic,4
"I tried to focus at the canteen, but everything felt dull.",sad,1
I set big goals today and I'm charging at them.,workout,5
The exam results turned into a small win I really needed.,happy,0
I miss how evening walk used to make me feel.,sad,1
"I warned them, but a stranger still returned my call. I'm done.",angry,3
I caught my neighbor smiling at me and time slowed.,romantic,4
My patience snapped in that bus stop queue.,angry,3
The breeze during my evening walk made everything slow down.,chill,2
I was fuming when my neighbor returned my call during late-night study.,angry,3
I put on soft music and let the day exhale.,chill,2
Sat near the home and let the noise drift away.,chill,2
Got good news about evening walk—it made my whole day.,happy,0
Walking to the market with them felt like a movie scene.,romantic,4
I saved songs from our lecture hall for later.,romantic,4
My my sister spilled coffee and now I feel drowsy.,sleep,6
I saved songs from our family dinner for later.,romantic,4
The quiet at the classroom is putting me to sleep.,sleep,6
Another delay in family dinner; I'm sick of this nonsense.,angry,3
"After traffic jam, I could run a mile and then some.",workout,5
"I warned them, but my boss still texted me. I'm done.",angry,3
My the lecturer forgot my name and now I feel drowsy.,sleep,6
My a stranger hyped me up and I’m all in.,workout,5
The payday reminded me I'm not okay yet.,sad,1
Walking to the canteen with them felt like a movie scene.,romantic,4
My patience snapped in that market queue.,angry,3
Another delay in exam results; I'm sick of this nonsense.,angry,3
My patience snapped in that canteen queue.,angry,3
My patience snapped in that home queue.,angry,3
My the lecturer hyped me up and I’m all in.,workout,5
"After birthday party, I could run a mile and then some.",workout,5
I saved songs from our playlist shuffle for later.,romantic,4
Another delay in evening walk; I'm sick of this nonsense.,angry,3
The way things went at the classroom was unacceptable.,angry,3
The quiet at the beach is putting me to sleep.,sleep,6
The birthday party reminded me I'm not okay yet.,sad,1
The breeze during my lecture hall made everything slow down.,chill,2
We shared traffic jam together; it felt effortless.,romantic,4
"After group project, I just want to curl up and rest.",sleep,6
Today felt light; even the bus ride tasted better than usual.,happy,0
My patience snapped in that market queue.,angry,3
"After late-night study, I just want to curl up and rest.",sleep,6
